stock,sector,sub_sector,market_cap_log,beta
COST,Consumer Defensive,Discount Stores,26.79828206329227,1.008
CPB,Consumer Defensive,Packaged Foods,22.800717175485158,-0.043
CPRT,Industrials,Specialty Business Services,24.40956311852047,1.103
CPAY,Technology,Software - Infrastructure,23.85382729742548,0.844
CRH,Basic Materials,Building Materials,25.132966357551847,1.198
CPT,Real Estate,REIT - Residential,23.161798217938248,0.824
CRM,Technology,Software - Application,26.107535552071393,1.266
CRWD,Technology,Software - Infrastructure,25.491252498944924,1.029
CRL,Healthcare,Diagnostics & Research,23.106663412891738,1.616
CSGP,Real Estate,Real Estate Services,24.06157672121246,0.841
CSCO,Technology,Communication Equipment,26.438528248935185,0.863
CSX,Industrials,Railroads,24.96874528852482,1.303
